App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Primary Genres,Secondary Genres
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39000000.0,5000000,Free,0.0,1,Art & Design,3-Aug-18,2.2.5,4.0.3 and up,Art & Design,
ibis Paint X,ART_AND_DESIGN,4.6,224399,31000000.0,10000000,Free,0.0,1,Art & Design,30-Jul-18,5.5.4,4.1 and up,Art & Design,
Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14000000.0,100000,Free,0.0,1,Art & Design,20-Apr-18,4,4.1 and up,Art & Design,
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12000000.0,100000,Free,0.0,1,Art & Design,20-Mar-18,1.1,4.0.3 and up,Art & Design,
Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4200000.0,500000,Free,0.0,3,Art & Design,12-Jul-18,2.2.6.2,4.0.3 and up,Art & Design,
Mcqueen Coloring pages,ART_AND_DESIGN,0.0,61,7000000.0,100000,Free,0.0,1,Art & Design;Action & Adventure,7-Mar-18,1.0.0,4.1 and up,Art & Design,Action & Adventure
HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23000000.0,50000,Free,0.0,1,Art & Design,7-Jul-18,1.1.3,4.1 and up,Art & Design,
Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6000000.0,10000,Free,0.0,1,Art & Design,25-Apr-18,1.5,3.0 and up,Art & Design,
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25000000.0,500000,Free,0.0,1,Art & Design;Creativity,11-Oct-17,1.0.8,4.0.3 and up,Art & Design,Creativity
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6100000.0,100000,Free,0.0,1,Art & Design,21-Mar-18,1.03,4.0.3 and up,Art & Design,
Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4600000.0,10000,Free,0.0,1,Art & Design,12-Jul-18,6,2.3 and up,Art & Design,
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4200000.0,100000,Free,0.0,1,Art & Design,22-Aug-17,1,2.3 and up,Art & Design,
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9200000.0,100000,Free,0.0,1,Art & Design,12-Jul-18,6.7.12.2018,4.0.3 and up,Art & Design,
Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5200000.0,50000,Free,0.0,1,Art & Design,31-May-18,1.2,2.3 and up,Art & Design,
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11000000.0,100000,Free,0.0,1,Art & Design,19-Jul-18,2.2,4.0 and up,Art & Design,
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11000000.0,100000,Free,0.0,1,Art & Design,6-Jan-18,1.1.0,4.1 and up,Art & Design,
I Creative Idea,ART_AND_DESIGN,4.7,353,4200000.0,10000,Free,0.0,2,Art & Design,27-Apr-18,1.6,4.1 and up,Art & Design,
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9200000.0,100000,Free,0.0,1,Art & Design,11-Jul-18,2.1,4.1 and up,Art & Design,
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24000000.0,500000,Free,0.0,1,Art & Design;Creativity,2-Aug-18,1.0.9,4.4 and up,Art & Design,Creativity
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11000000.0,10000,Free,0.0,1,Art & Design,29-Nov-17,1.3,4.0.3 and up,Art & Design,
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9400000.0,500000,Free,0.0,1,Art & Design,31-Mar-18,1,4.0 and up,Art & Design,
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15000000.0,10000,Free,0.0,1,Art & Design,20-Jul-18,2.0.1,4.0.3 and up,Art & Design,
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10000000.0,100000,Free,0.0,1,Art & Design,2-Apr-18,1,4.0.3 and up,Art & Design,
Paint Splash!,ART_AND_DESIGN,3.8,2206,1200000.0,100000,Free,0.0,1,Art & Design;Creativity,15-Apr-18,1.46,4.1 and up,Art & Design,Creativity
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12000000.0,10000,Free,0.0,1,Art & Design,3-Jan-18,1.0.0,4.1 and up,Art & Design,
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24000000.0,10000000,Free,0.0,1,Art & Design,31-Jul-18,1.6.1,4.1 and up,Art & Design,
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26000000.0,100000,Free,0.0,1,Art & Design,14-Nov-17,1.6,4.1 and up,Art & Design,
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8000000.0,100000,Free,0.0,1,Art & Design,17-Dec-17,2.0.0,4.1 and up,Art & Design,
How To Draw Food,ART_AND_DESIGN,4.3,845,7900000.0,100000,Free,0.0,1,Art & Design,28-May-18,1,2.3 and up,Art & Design,
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25000000.0,100000,Free,0.0,1,Auto & Vehicles,10-May-18,1,4.0.3 and up,Auto & Vehicles,
Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56000000.0,1000000,Free,0.0,1,Auto & Vehicles,26-Jul-18,11,4.1 and up,Auto & Vehicles,
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57000000.0,100000,Free,0.0,1,Auto & Vehicles,26-Jul-18,3,4.1 and up,Auto & Vehicles,
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35000000.0,100000,Free,0.0,1,Auto & Vehicles,26-Jul-18,3,4.1 and up,Auto & Vehicles,
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33000000.0,100000,Free,0.0,1,Auto & Vehicles,31-Jul-18,4,4.1 and up,Auto & Vehicles,
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33000000.0,100000,Free,0.0,1,Auto & Vehicles,18-Jul-18,1.7.1,4.0 and up,Auto & Vehicles,
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5600000.0,50000,Free,0.0,1,Auto & Vehicles,29-Jul-18,2.5.1,4.4 and up,Auto & Vehicles,
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54000000.0,100000,Free,0.0,1,Auto & Vehicles,26-Jul-18,3,4.1 and up,Auto & Vehicles,
Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,201000.0,100000,Free,0.0,1,Auto & Vehicles,26-Aug-14,1.0.1,2.2 and up,Auto & Vehicles,
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3600000.0,100000,Free,0.0,1,Auto & Vehicles,30-Jul-18,2.493,4.4 and up,Auto & Vehicles,
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5700000.0,10000,Free,0.0,1,Auto & Vehicles,8-Jul-18,1.9.1,4.0.3 and up,Auto & Vehicles,
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17000000.0,100000,Free,0.0,1,Auto & Vehicles,3-Jul-18,1.7,4.2 and up,Auto & Vehicles,
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8600000.0,1000000,Free,0.0,1,Auto & Vehicles,28-Jul-18,2.20 Build 02,4.1 and up,Auto & Vehicles,
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2400000.0,100000,Free,0.0,1,Auto & Vehicles,12-Jun-18,1.37,4.0 and up,Auto & Vehicles,
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27000000.0,100000,Free,0.0,1,Auto & Vehicles,3-Jul-18,1.7,4.2 and up,Auto & Vehicles,
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2700000.0,10000,Free,0.0,1,Auto & Vehicles,30-Jul-18,0.2.1,4.4 and up,Auto & Vehicles,
Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2500000.0,50000,Free,0.0,1,Auto & Vehicles,14-Oct-16,1,2.3 and up,Auto & Vehicles,
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7000000.0,5000000,Free,0.0,1,Auto & Vehicles,16-Jul-18,4.47.3,4.0.3 and up,Auto & Vehicles,
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35000000.0,5000000,Free,0.0,1,Auto & Vehicles,2-Aug-18,1.9.7,4.0.3 and up,Auto & Vehicles,
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16000000.0,500000,Free,0.0,1,Auto & Vehicles,2-Aug-18,2.2.21,4.2 and up,Auto & Vehicles,
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16000000.0,10000000,Free,0.0,2,Auto & Vehicles,11-Jul-18,Varies with device,5.0 and up,Auto & Vehicles,
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17000000.0,500000,Free,0.0,1,Auto & Vehicles,27-Jul-18,1.79,4.0 and up,Auto & Vehicles,
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3400000.0,50000,Free,0.0,1,Auto & Vehicles,14-Jun-18,1.3,4.0 and up,Auto & Vehicles,
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8900000.0,100000,Free,0.0,1,Auto & Vehicles,8-Jun-18,2.3.5.1,4.1 and up,Auto & Vehicles,
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3900000.0,1000000,Free,0.0,3,Auto & Vehicles,4-Jul-18,1.6,4.0 and up,Auto & Vehicles,
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2900000.0,100000,Free,0.0,1,Auto & Vehicles,27-Mar-18,1.6,4.1 and up,Auto & Vehicles,
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38000000.0,1000000,Free,0.0,1,Auto & Vehicles,15-Jul-18,8.31,4.1 and up,Auto & Vehicles,
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32000000.0,50000,Free,0.0,1,Auto & Vehicles,24-Jul-18,1.1.5.0,6.0 and up,Auto & Vehicles,
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37000000.0,1000000,Free,0.0,1,Auto & Vehicles,27-Jul-18,10.0.2,4.2 and up,Auto & Vehicles,
Supervision service,AUTO_AND_VEHICLES,4.0,2155,15000000.0,500000,Free,0.0,1,Auto & Vehicles,30-Jul-18,1.10.3,5.0 and up,Auto & Vehicles,
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5400000.0,100000,Free,0.0,1,Auto & Vehicles,23-Jul-18,1,4.0.3 and up,Auto & Vehicles,
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18000000.0,1000000,Free,0.0,1,Auto & Vehicles,23-Jul-18,3.20.1,4.4 and up,Auto & Vehicles,
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38000000.0,100000,Free,0.0,1,Auto & Vehicles,29-Jul-18,1.0.3,2.3 and up,Auto & Vehicles,
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1100000.0,100000,Free,0.0,1,Auto & Vehicles,27-Apr-18,1.4,4.0.3 and up,Auto & Vehicles,
SMS Park,AUTO_AND_VEHICLES,4.5,3617,7900000.0,100000,Free,0.0,1,Auto & Vehicles,16-May-18,2.8.2,4.1 and up,Auto & Vehicles,
SKencar,AUTO_AND_VEHICLES,3.7,4806,35000000.0,1000000,Free,0.0,1,Auto & Vehicles,31-Jul-18,4.0.3,4.0.3 and up,Auto & Vehicles,
auto fines,AUTO_AND_VEHICLES,4.6,31433,17000000.0,1000000,Free,0.0,1,Auto & Vehicles,2-Aug-18,1.4,4.0.3 and up,Auto & Vehicles,
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19000000.0,1000000,Free,0.0,1,Auto & Vehicles,23-Jul-18,1.5.18,4.0.3 and up,Auto & Vehicles,
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14000000.0,500000,Free,0.0,1,Auto & Vehicles,2-Jun-18,2.3.4,4.0 and up,Auto & Vehicles,
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2200000.0,500000,Free,0.0,1,Auto & Vehicles,20-Mar-18,1.03,4.0.3 and up,Auto & Vehicles,
Gas Station,AUTO_AND_VEHICLES,4.0,1288,4500000.0,100000,Free,0.0,1,Auto & Vehicles,21-Apr-18,2.17,4.0 and up,Auto & Vehicles,
Hush - Beauty for Everyone,BEAUTY,4.7,18900,17000000.0,500000,Free,0.0,1,Beauty,2-Aug-18,6.10.1,5.0 and up,Beauty,
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14000000.0,1000000,Free,0.0,1,Beauty,9-Nov-17,2.3.0,4.1 and up,Beauty,
Natural recipes for your beauty,BEAUTY,4.7,1150,9800000.0,100000,Free,0.0,1,Beauty,15-May-18,4,4.1 and up,Beauty,
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21000000.0,500000,Free,0.0,1,Beauty,12-Jul-18,1.0.6,4.0.3 and up,Beauty,
Beauty Selfie Camera,BEAUTY,4.2,2225,52000000.0,500000,Free,0.0,1,Beauty,28-Feb-18,1.6,4.1 and up,Beauty,
Hairstyles step by step,BEAUTY,4.6,4369,14000000.0,100000,Free,0.0,1,Beauty,25-Jul-18,1.9,4.0.3 and up,Beauty,
Filters for Selfie,BEAUTY,4.3,8572,25000000.0,1000000,Free,0.0,1,Beauty,10-May-18,1.1.0,4.0 and up,Beauty,
Tie - Always be happy,BEAUTY,4.7,964,9000000.0,50000,Free,0.0,1,Beauty,21-Jun-18,4,4.2 and up,Beauty,
Prom MakeUp Tutorial,BEAUTY,4.8,104,12000000.0,10000,Free,0.0,1,Beauty,26-Jun-18,1.3,4.0.3 and up,Beauty,
Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35000000.0,100000,Free,0.0,1,Beauty,2-Jun-18,2.0.0,4.0 and up,Beauty,
Colors of white in Urdu,BEAUTY,4.5,36,6700000.0,10000,Free,0.0,1,Beauty,26-Jul-18,6,4.0 and up,Beauty,
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30000000.0,50000,Free,0.0,2,Beauty,24-Jul-18,3.0.1,4.0.3 and up,Beauty,
Wrinkles and rejuvenation,BEAUTY,0.0,182,5700000.0,100000,Free,0.0,3,Beauty,20-Sep-17,8,3.0 and up,Beauty,
Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2900000.0,10000,Free,0.0,1,Beauty,9-Apr-18,3.3.9,4.0.3 and up,Beauty,
Photo Editor 2018,BEAUTY,4.5,134,17000000.0,10000,Free,0.0,1,Beauty,1-Mar-18,1.2,4.0.3 and up,Beauty,
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2900000.0,10000,Free,0.0,1,Beauty,5-Apr-18,2.3.09,4.0.3 and up,Beauty,
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2600000.0,1000000,Free,0.0,1,Beauty,21-Nov-17,1.4.2,4.0 and up,Beauty,
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4200000.0,50000,Free,0.0,1,Beauty,18-Oct-17,1.0.0,4.0.3 and up,Beauty,
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7100000.0,10000,Free,0.0,1,Beauty,29-May-18,1,4.0 and up,Beauty,
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57000000.0,1000000,Free,0.0,1,Beauty,24-Jul-18,18.5,5.0 and up,Beauty,
Manicure - nail design,BEAUTY,0.0,119,3700000.0,50000,Free,0.0,1,Beauty,23-Jul-18,1.3,4.1 and up,Beauty,
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22000000.0,500000,Free,0.0,1,Beauty,12-Jul-18,1.1.0,4.0.3 and up,Beauty,
Filters for B Live,BEAUTY,4.4,2280,24000000.0,500000,Free,0.0,1,Beauty,14-May-18,1.1.0,4.0 and up,Beauty,
Skin Care and Natural Beauty,BEAUTY,0.0,654,7400000.0,100000,Free,0.0,2,Beauty,17-Jul-18,1.15,4.1 and up,Beauty,
Facial Wrinkle Reduction,BEAUTY,4.6,184,21000000.0,10000,Free,0.0,1,Beauty,2-Jul-18,1.5,4.1 and up,Beauty,
Makeup Videos,BEAUTY,3.8,9,3400000.0,5000,Free,0.0,1,Beauty,7-Jun-18,1,4.0 and up,Beauty,
"Secrets of beauty, youth and health",BEAUTY,0.0,77,2900000.0,10000,Free,0.0,4,Beauty,8-Aug-17,2,2.3 and up,Beauty,
Recipes and tips for losing weight,BEAUTY,0.0,35,3100000.0,10000,Free,0.0,3,Beauty,11-Dec-17,2,3.0 and up,Beauty,
Discover Color,BEAUTY,4.0,364,6400000.0,100000,Free,0.0,1,Beauty,24-May-18,1.1,4.0.3 and up,Beauty,
Eyeliner step by step 2018,BEAUTY,4.3,18,3200000.0,5000,Free,0.0,1,Beauty,1-Jun-18,1.2.13,4.0.3 and up,Beauty,
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8200000.0,100000,Free,0.0,4,Beauty,1-Mar-17,1.0.2.0,1.6 and up,Beauty,
"Lady adviser (beauty, health)",BEAUTY,0.0,30,9900000.0,10000,Free,0.0,4,Beauty,24-Jan-18,3,3.0 and up,Beauty,
Step By Step Hairstyles For Women,BEAUTY,4.1,66,2900000.0,10000,Free,0.0,1,Beauty,5-Apr-18,3.1.89,4.0.3 and up,Beauty,
Rainbow Camera,BEAUTY,3.7,3871,23000000.0,1000000,Free,0.0,1,Beauty,30-Jul-18,2.2.0,4.0 and up,Beauty,
Methods of teeth whitening,BEAUTY,4.7,257,4600000.0,50000,Free,0.0,1,Beauty,7-Aug-17,1,4.0.3 and up,Beauty,
Girls hairstyles 2018,BEAUTY,4.2,62,3100000.0,10000,Free,0.0,1,Beauty,28-May-18,1.9.2,4.0.3 and up,Beauty,
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4900000.0,50000,Free,0.0,1,Books & Reference,3-Aug-18,1.3.2,4.4 and up,Books & Reference,
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9500000.0,100000,Free,0.0,3,Books & Reference,31-Jul-17,1.1,4.0 and up,Books & Reference,
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4200000.0,100000,Free,0.0,1,Books & Reference,27-Mar-18,2.1,4.1 and up,Books & Reference,
Book store,BOOKS_AND_REFERENCE,4.4,22486,5400000.0,1000000,Free,0.0,2,Books & Reference,6-Jun-18,3.2.1,4.0 and up,Books & Reference,
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2800000.0,500000,Free,0.0,1,Books & Reference,21-Jan-18,1,4.0 and up,Books & Reference,
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5000000.0,1000000,Free,0.0,2,Books & Reference,1-Aug-18,2.0.075,4.0.3 and up,Books & Reference,
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5900000.0,5000000,Free,0.0,1,Books & Reference,27-May-18,1.91180527,2.3 and up,Books & Reference,
Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13000000.0,100000,Free,0.0,1,Books & Reference,17-Jul-18,1,4.0.3 and up,Books & Reference,
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7100000.0,10000000,Free,0.0,1,Books & Reference,11-Jul-18,9.1.363,4.1 and up,Books & Reference,
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6700000.0,500000,Free,0.0,1,Books & Reference,4-Aug-18,1.1.6,4.0.3 and up,Books & Reference,
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17000000.0,1000000,Free,0.0,1,Books & Reference,20-Jul-18,2.3.18,4.1 and up,Books & Reference,
Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19000000.0,1000000,Free,0.0,1,Books & Reference,27-Apr-18,2.2.5,4.1 and up,Books & Reference,
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6700000.0,500000,Free,0.0,1,Books & Reference,17-May-18,15,2.3 and up,Books & Reference,
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21000000.0,1000000,Free,0.0,1,Books & Reference,2-Jun-18,18.05.31+530,4.1 and up,Books & Reference,
Anonymous caller detection,BOOKS_AND_REFERENCE,0.0,161,2700000.0,10000,Free,0.0,1,Books & Reference,13-Jul-18,1,2.3 and up,Books & Reference,
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37000000.0,5000000,Free,0.0,1,Books & Reference,25-Jun-18,5.0.6,4.0 and up,Books & Reference,
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15000000.0,100000,Free,0.0,2,Books & Reference,4-Jul-18,1.2.3,4.0 and up,Books & Reference,
Read books online,BOOKS_AND_REFERENCE,4.1,91615,23000000.0,5000000,Free,0.0,4,Books & Reference,29-Jun-18,3.12,4.1 and up,Books & Reference,
English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19000000.0,500000,Free,0.0,1,Books & Reference,23-Nov-17,2,4.0.3 and up,Books & Reference,
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23000000.0,1000000,Free,0.0,1,Books & Reference,20-Jun-18,1.28,3.0 and up,Books & Reference,
English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73000000.0,500000,Free,0.0,1,Books & Reference,1-Aug-18,6.0.8,4.0.3 and up,Books & Reference,
Flybook,BOOKS_AND_REFERENCE,3.9,1778,4900000.0,500000,Free,0.0,4,Books & Reference,16-Oct-14,1.0.3,2.1 and up,Books & Reference,
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6800000.0,1000000,Free,0.0,1,Books & Reference,11-Jul-18,1.9,4.4 and up,Books & Reference,
English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2900000.0,100000,Free,0.0,1,Books & Reference,31-Mar-18,14,4.0 and up,Books & Reference,
Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322,3500000.0,100000,Free,0.0,1,Books & Reference,28-May-18,6,4.0.3 and up,Books & Reference,
Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4000000.0,100000,Free,0.0,1,Books & Reference,20-Aug-16,3.05,4.0.3 and up,Books & Reference,
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21000000.0,50000,Free,0.0,1,Books & Reference,17-Jul-18,2,3.0 and up,Books & Reference,
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2300000.0,500000,Free,0.0,1,Books & Reference,16-Jun-18,1.5,3.0 and up,Books & Reference,
SH-02J Owner's Manual (Android 8.0),BOOKS_AND_REFERENCE,0.0,2,7200000.0,50000,Free,0.0,1,Books & Reference,15-Jun-18,3,6.0 and up,Books & Reference,
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10000000.0,1000000,Free,0.0,1,Books & Reference,28-Jul-18,2.5.3,4.0 and up,Books & Reference,
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6100000.0,1000000,Free,0.0,1,Books & Reference,19-Jul-18,7.0.4.6,4.2 and up,Books & Reference,
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2100000.0,1000000,Free,0.0,1,Books & Reference,29-Jul-18,1.15,4.0.3 and up,Books & Reference,
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42000000.0,500000,Free,0.0,1,Books & Reference,15-Feb-18,3.1.7.9,2.2 and up,Books & Reference,
URBANO V 02 instruction manual,BOOKS_AND_REFERENCE,0.0,114,7300000.0,100000,Free,0.0,1,Books & Reference,7-Aug-15,1.1,5.1 and up,Books & Reference,
